cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354
2023-02,1.0,1.0,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,
2023-03,1.0,0.85,0.85,0.85,0.7,0.65,0.5,0.45,0.35,0.35,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
2023-04,1.0,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7333333333333333,0.6,0.4666666666666667,0.4,0.4,0.4,0.4,,,
2023-05,1.0,1.0,1.0,1.0,0.8846153846153846,0.8846153846153846,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6153846153846154,0.5769230769230769,0.5384615384615384,0.5384615384615384,,,,
2023-06,1.0,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.46153846153846156,0.38461538461538464,0.3076923076923077,,,,,
2023-07,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,,,,,,
2023-08,1.0,1.0,0.9375,0.9375,0.9375,0.8125,0.75,0.75,0.6875,0.625,0.625,0.5625,0.4375,0.4375,0.375,0.375,0.3125,,,,,,,
2023-09,1.0,1.0,0.9130434782608695,0.782608695652174,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.43478260869565216,0.43478260869565216,0.30434782608695654,0.21739130434782608,0.21739130434782608,0.21739130434782608,,,,,,,,
2023-10,1.0,0.95,0.9,0.9,0.75,0.7,0.55,0.45,0.4,0.35,0.25,0.25,0.25,0.2,0.15,,,,,,,,,
2023-11,1.0,1.0,0.84,0.76,0.68,0.64,0.64,0.52,0.48,0.4,0.36,0.32,0.28,0.24,,,,,,,,,,
2023-12,1.0,0.9,0.75,0.75,0.55,0.5,0.5,0.45,0.35,0.3,0.3,0.2,0.2,,,,,,,,,,,
2024-01,1.0,0.9375,0.875,0.8125,0.75,0.5625,0.4375,0.375,0.3125,0.3125,0.25,0.25,,,,,,,,,,,,
2024-02,1.0,1.0,0.9230769230769231,0.7692307692307693,0.6923076923076923,0.6153846153846154,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.38461538461538464,,,,,,,,,,,,,
2024-03,1.0,0.8518518518518519,0.7407407407407407,0.6296296296296297,0.5555555555555556,0.5185185185185185,0.4074074074074074,0.4074074074074074,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,
2024-04,1.0,0.9545454545454546,0.7272727272727273,0.6818181818181818,0.5454545454545454,0.4090909090909091,0.3181818181818182,0.3181818181818182,0.2727272727272727,,,,,,,,,,,,,,,
2024-05,1.0,0.9545454545454546,0.6818181818181818,0.5,0.5,0.45454545454545453,0.4090909090909091,0.3181818181818182,,,,,,,,,,,,,,,,
2024-06,1.0,0.9047619047619048,0.7619047619047619,0.6190476190476191,0.47619047619047616,0.42857142857142855,0.3333333333333333,,,,,,,,,,,,,,,,,
2024-07,1.0,0.9615384615384616,0.8076923076923077,0.6538461538461539,0.46153846153846156,0.38461538461538464,,,,,,,,,,,,,,,,,,
2024-08,1.0,0.8571428571428571,0.6666666666666666,0.5238095238095238,0.47619047619047616,,,,,,,,,,,,,,,,,,,
2024-09,1.0,0.8,0.36,0.28,,,,,,,,,,,,,,,,,,,,
2024-10,1.0,0.9354838709677419,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,
2024-11,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,
2024-12,1.0,,,,,,,,,,,,,,,,,,,,,,,
